Category,Subcategory,Template,Instance
Ethnicity,Middle Eastern,Y-U-So-Arab,15743893
Ethnicity,Middle Eastern,Y-U-So-Arab,52313741
Ethnicity,Middle Eastern,Y-U-So-Arab,14853493
Ethnicity,Middle Eastern,Y-U-So-Arab,15278475
Ethnicity,Middle Eastern,Y-U-So-Arab,28907889
Ethnicity,Middle Eastern,Y-U-So-Arab,45862804
Ethnicity,Middle Eastern,Y-U-So-Arab,54713974
Ethnicity,Middle Eastern,Y-U-So-Arab,33876620
Ethnicity,Middle Eastern,Y-U-So-Arab,28186303
Ethnicity,Middle Eastern,Arabic-Meme,54613896
Ethnicity,Middle Eastern,Arabic-Meme,56994597
Ethnicity,Middle Eastern,Arabic-Meme,60996639
Ethnicity,Middle Eastern,Arabic-Meme,61588529
Ethnicity,Middle Eastern,Arabic-Meme,44013573
Ethnicity,Middle Eastern,Arabic-Meme,60063259
Ethnicity,Middle Eastern,Arabic-Meme,53482901
Ethnicity,Middle Eastern,Arabic-Meme,52001546
Ethnicity,Middle Eastern,Arabic-Meme,47530735
Ethnicity,Middle Eastern,Richarabclap,41937803
Ethnicity,Middle Eastern,Richarabclap,67587347
Ethnicity,Middle Eastern,Richarabclap,54943200
Ethnicity,Middle Eastern,Richarabclap,43468796
Ethnicity,Middle Eastern,Richarabclap,57191846
Ethnicity,Middle Eastern,Richarabclap,51492564
Ethnicity,Middle Eastern,Richarabclap,61420948
Ethnicity,Middle Eastern,Richarabclap,67172022
Ethnicity,Middle Eastern,Richarabclap,52998905
Ethnicity,White,Privilege-Abusing-White-Couple,29624126
Ethnicity,White,Privilege-Abusing-White-Couple,29949992
Ethnicity,White,Privilege-Abusing-White-Couple,76490800
Ethnicity,White,Privilege-Abusing-White-Couple,29678634
Ethnicity,White,Privilege-Abusing-White-Couple,29622789
Ethnicity,White,Privilege-Abusing-White-Couple,29625379
Ethnicity,White,Privilege-Abusing-White-Couple,65381547
Ethnicity,White,Privilege-Abusing-White-Couple,29743823
Ethnicity,White,Privilege-Abusing-White-Couple,72478823
Ethnicity,White,Nice-White-Girl,17036030
Ethnicity,White,Nice-White-Girl,16376679
Ethnicity,White,Nice-White-Girl,16354597
Ethnicity,White,Nice-White-Girl,16376865
Ethnicity,White,Nice-White-Girl,19303129
Ethnicity,White,Nice-White-Girl,16206576
Ethnicity,White,Nice-White-Girl,16376064
Ethnicity,White,Nice-White-Girl,19303241
Ethnicity,White,Nice-White-Girl,16202418
Ethnicity,White,White-Power-Problems,24260140
Ethnicity,White,White-Power-Problems,61977076
Ethnicity,White,White-Power-Problems,52441167
Ethnicity,White,White-Power-Problems,52441102
Ethnicity,White,White-Power-Problems,33886260
Ethnicity,White,White-Power-Problems,30428736
Ethnicity,White,White-Power-Problems,80378378
Ethnicity,White,White-Power-Problems,27358591
Ethnicity,White,White-Power-Problems,50976493
Sexual Orientation and Gender Identity,Trans,Oppressive-Trans-Bro,45779076
Sexual Orientation and Gender Identity,Trans,Oppressive-Trans-Bro,58406850
Sexual Orientation and Gender Identity,Trans,Oppressive-Trans-Bro,46890439
Sexual Orientation and Gender Identity,Trans,Oppressive-Trans-Bro,51595417
Sexual Orientation and Gender Identity,Trans,Oppressive-Trans-Bro,45779549
Sexual Orientation and Gender Identity,Trans,Oppressive-Trans-Bro,59569642
Sexual Orientation and Gender Identity,Trans,Oppressive-Trans-Bro,45779685
Sexual Orientation and Gender Identity,Trans,Oppressive-Trans-Bro,48148374
Sexual Orientation and Gender Identity,Trans,Oppressive-Trans-Bro,28967905
Sexual Orientation and Gender Identity,Trans,Privilege-Denying-Tranny,31838015
Sexual Orientation and Gender Identity,Trans,Privilege-Denying-Tranny,12174964
Sexual Orientation and Gender Identity,Trans,Privilege-Denying-Tranny,33819761
Sexual Orientation and Gender Identity,Trans,Privilege-Denying-Tranny,12927847
Sexual Orientation and Gender Identity,Trans,Privilege-Denying-Tranny,12512694
Sexual Orientation and Gender Identity,Trans,Privilege-Denying-Tranny,16949473
Sexual Orientation and Gender Identity,Trans,Privilege-Denying-Tranny,12848533
Sexual Orientation and Gender Identity,Trans,Privilege-Denying-Tranny,12175037
Sexual Orientation and Gender Identity,Trans,Privilege-Denying-Tranny,12174922
Sexual Orientation and Gender Identity,Trans,Transvestite-Trevor,25734974
Sexual Orientation and Gender Identity,Trans,Transvestite-Trevor,73890577
Sexual Orientation and Gender Identity,Trans,Transvestite-Trevor,74630804
Sexual Orientation and Gender Identity,Trans,Transvestite-Trevor,34942160
Sexual Orientation and Gender Identity,Trans,Transvestite-Trevor,20592552
Sexual Orientation and Gender Identity,Trans,Transvestite-Trevor,50374605
Sexual Orientation and Gender Identity,Trans,Transvestite-Trevor,28020699
Sexual Orientation and Gender Identity,Trans,Transvestite-Trevor,24101537
Sexual Orientation and Gender Identity,Trans,Transvestite-Trevor,35301741
Cultural and Political Topics,Gender and Family,Feminist-Cunt,11992263
Cultural and Political Topics,Gender and Family,Feminist-Cunt,24080425
Cultural and Political Topics,Gender and Family,Feminist-Cunt,19510757
Cultural and Political Topics,Gender and Family,Feminist-Cunt,30158191
Cultural and Political Topics,Gender and Family,Feminist-Cunt,61485517
Cultural and Political Topics,Gender and Family,Feminist-Cunt,75759981
Cultural and Political Topics,Gender and Family,Feminist-Cunt,64721429
Cultural and Political Topics,Gender and Family,Feminist-Cunt,56517998
Cultural and Political Topics,Gender and Family,Feminist-Cunt,57771347
Cultural and Political Topics,Gender and Family,Privilege-Denying-Feminist,11816764
Cultural and Political Topics,Gender and Family,Privilege-Denying-Feminist,45682572
Cultural and Political Topics,Gender and Family,Privilege-Denying-Feminist,45253790
Cultural and Political Topics,Gender and Family,Privilege-Denying-Feminist,11807951
Cultural and Political Topics,Gender and Family,Privilege-Denying-Feminist,36492650
Cultural and Political Topics,Gender and Family,Privilege-Denying-Feminist,33578319
Cultural and Political Topics,Gender and Family,Privilege-Denying-Feminist,35841111
Cultural and Political Topics,Gender and Family,Privilege-Denying-Feminist,11807098
Cultural and Political Topics,Gender and Family,Privilege-Denying-Feminist,54058557
Cultural and Political Topics,Gender and Family,Feministfrequently,21985338
Cultural and Political Topics,Gender and Family,Feministfrequently,43974846
Cultural and Political Topics,Gender and Family,Feministfrequently,11401379
Cultural and Political Topics,Gender and Family,Feministfrequently,53041788
Cultural and Political Topics,Gender and Family,Feministfrequently,84644356
Cultural and Political Topics,Gender and Family,Feministfrequently,11401470
Cultural and Political Topics,Gender and Family,Feministfrequently,24023181
Cultural and Political Topics,Gender and Family,Feministfrequently,42658617
Cultural and Political Topics,Gender and Family,Feministfrequently,51831547
Cultural and Political Topics,Police Man,Scumbag-Police-Officer,41870989
Cultural and Political Topics,Police Man,Scumbag-Police-Officer,54088754
Cultural and Political Topics,Police Man,Scumbag-Police-Officer,56611052
Cultural and Political Topics,Police Man,Scumbag-Police-Officer,49238394
Cultural and Political Topics,Police Man,Scumbag-Police-Officer,46295916
Cultural and Political Topics,Police Man,Scumbag-Police-Officer,57039495
Cultural and Political Topics,Police Man,Scumbag-Police-Officer,45033824
Cultural and Political Topics,Police Man,Scumbag-Police-Officer,50416957
Cultural and Political Topics,Police Man,Scumbag-Police-Officer,56603606
Cultural and Political Topics,Police Man,Strict-Policeman,22566790
Cultural and Political Topics,Police Man,Strict-Policeman,14616638
Cultural and Political Topics,Police Man,Strict-Policeman,20160581
Cultural and Political Topics,Police Man,Strict-Policeman,17008546
Cultural and Political Topics,Police Man,Strict-Policeman,26606372
Cultural and Political Topics,Police Man,Strict-Policeman,17560511
Cultural and Political Topics,Police Man,Strict-Policeman,22792925
Cultural and Political Topics,Police Man,Strict-Policeman,19818809
Cultural and Political Topics,Police Man,Strict-Policeman,32272127
Cultural and Political Topics,Police Man,Policeman,56570070
Cultural and Political Topics,Police Man,Policeman,53065518
Cultural and Political Topics,Police Man,Policeman,67038914
Cultural and Political Topics,Police Man,Policeman,60600181
Cultural and Political Topics,Police Man,Policeman,75456293
Cultural and Political Topics,Police Man,Policeman,62359085
Cultural and Political Topics,Police Man,Policeman,57794720
Cultural and Political Topics,Police Man,Policeman,76359952
Cultural and Political Topics,Police Man,Policeman,69400715
